customerId,customerName,employeeContactName,phoneNumber,address,addressLine2,city,state,zipcode,country
138,Emily Wheeler,Jose Freeman,1-(520)126-3952,1 Reindahl Trail,Pond,Prescott,Arizona,86305,US
139,Patricia Perez,Evelyn Daniels,1-(831)130-8105,43 Algoma Terrace,Westerfield,Santa Cruz,California,95064,US
140,Ruth Hall,Michelle Richardson,1-(240)724-1459,64292 Melvin Pass,Vermont,Gaithersburg,Maryland,20883,US
141,Betty Welch,Chris Gardner,1-(775)991-9532,678 Northwestern Trail,Northwestern,Reno,Nevada,89505,US
142,Alice Matthews,Kathleen Williamson,1-(404)633-9360,489 South Place,Russell,Atlanta,Georgia,30380,US
143,Phillip Nelson,Philip Lopez,1-(937)535-4853,41 Jana Hill,Lunder,Dayton,Ohio,45426,US
144,Phillip Carter,Maria Black,1-(808)106-7135,3 Onsgard Parkway,Ohio,Honolulu,Hawaii,96845,US
145,Kimberly Gilbert,Ernest Pierce,1-(330)132-8048,95 Lukken Park,Atwood,Canton,Ohio,44710,US
146,Rachel Gardner,Patricia Welch,1-(816)241-0238,21 Badeau Alley,Texas,Kansas City,Missouri,64160,US
147,Donald Shaw,Kenneth Hanson,1-(818)276-1821,80 Gulseth Hill,Namekagon,Glendale,California,91210,US
148,Stephanie Wright,Angela Thomas,1-(337)293-9769,744 Karstens Avenue,Sugar,Lafayette,Louisiana,70593,US
149,Brian Fowler,Adam Lee,1-(240)881-8902,857 Washington Pass,Portage,Rockville,Maryland,20851,US
150,Eugene Frazier,Steven Wheeler,1-(254)610-7304,159 Division Circle,Hanson,Temple,Texas,76505,US
151,Betty Morris,Peter Hart,1-(203)598-2427,5546 Roxbury Terrace,Trailsway,Bridgeport,Connecticut,06673,US
152,Eugene Baker,Betty Ford,1-(717)729-3950,8 Melby Drive,Heffernan,Harrisburg,Pennsylvania,17110,US
153,Norma Fields,Sara Garcia,1-(850)973-4341,35471 Marcy Way,Duke,Pensacola,Florida,32575,US
154,Terry Hill,Randy Howard,1-(919)202-5925,354 Marquette Way,Buhler,Durham,North Carolina,27710,US
155,Evelyn Campbell,Jean Bradley,1-(601)407-3725,3 Packers Hill,Leroy,Jackson,Mississippi,39282,US
156,Mildred Banks,Samuel Lewis,1-(410)758-9434,7617 Mesta Court,Ruskin,Ridgely,Maryland,21684,US
157,Debra Tucker,Eugene Ray,1-(719)332-9618,34 Prairie Rose Parkway,Elka,Colorado Springs,Colorado,80920,US
158,Ashley Ellis,Katherine Fox,1-(662)927-9331,4470 Butternut Park,Scoville,Columbus,Mississippi,39705,US
159,Keith Thompson,Angela Rose,1-(217)251-3616,556 Chinook Park,Westend,Champaign,Illinois,61825,US
160,Lawrence Alexander,Judy Graham,1-(229)803-0599,7 Weeping Birch Court,1st,Valdosta,Georgia,31605,US
161,Denise Rogers,Wayne Armstrong,1-(317)572-0462,4055 Dorton Terrace,Ohio,Indianapolis,Indiana,46278,US
162,Kevin Martinez,Johnny Wilson,1-(770)685-7453,647 Paget Parkway,Porter,Decatur,Georgia,30089,US
163,Keith George,Timothy Austin,1-(918)342-5758,76 Grayhawk Street,Holmberg,Tulsa,Oklahoma,74103,US
164,James Vasquez,Kathleen Fields,1-(202)125-3945,9511 Green Ridge Avenue,Monument,Washington,District of Columbia,20215,US
165,Billy Payne,Ernest Reid,1-(251)423-6984,175 Sherman Crossing,Glendale,Mobile,Alabama,36605,US
166,Wayne Cole,Carlos Bennett,1-(239)968-4034,20 Russell Center,Riverside,Lehigh Acres,Florida,33972,US
167,Mary Freeman,Jessica Harris,1-(503)738-1776,7 Elgar Crossing,Oak,Portland,Oregon,97296,US
168,Ryan Hansen,Beverly Powell,1-(859)746-0571,8310 Lighthouse Bay Drive,Becker,Lexington,Kentucky,40515,US
169,Debra Porter,Richard Reid,1-(907)630-5140,47 Corben Center,Shasta,Anchorage,Alaska,99599,US
170,Ryan Montgomery,Jean Mason,1-(770)179-0697,2826 Canary Drive,Hintze,Duluth,Georgia,30096,US
171,Billy Roberts,Ernest Cooper,1-(210)840-5788,5752 Darwin Drive,3rd,San Antonio,Texas,78240,US
172,Dorothy Graham,Theresa Crawford,1-(559)772-7004,9 Nancy Court,Autumn Leaf,Fresno,California,93762,US
173,Catherine Little,Barbara Perez,1-(812)861-4744,75 6th Hill,Mayer,Terre Haute,Indiana,47805,US
174,Joan Holmes,Mary Patterson,1-(334)431-6527,944 Summer Ridge Drive,New Castle,Birmingham,Alabama,35210,US
175,Nancy Simmons,Teresa Gutierrez,1-(203)813-6741,1402 Daystar Terrace,Sutteridge,Stamford,Connecticut,06912,US
176,Maria Griffin,Rachel Gonzales,1-(817)706-4298,7476 Arizona Place,Oak,Fort Worth,Texas,76147,US
177,Frances Reynolds,Juan Montgomery,1-(727)886-7946,664 Express Place,Debs,Saint Petersburg,Florida,33742,US
178,George Daniels,Carol Brown,1-(253)875-6263,53 Colorado Circle,Doe Crossing,Olympia,Washington,98516,US
179,Cynthia Perez,Todd Sullivan,1-(325)505-2947,7 Buell Street,Darwin,Abilene,Texas,79605,US
180,Diane Powell,Fred Coleman,1-(937)439-2346,999 Prairie Rose Drive,Ryan,Dayton,Ohio,45432,US
181,Michael Banks,Albert Watson,1-(314)780-8082,0946 Amoth Lane,Mesta,Saint Louis,Missouri,63110,US
182,Douglas Cox,Jean Richardson,1-(412)750-4490,9192 Vahlen Pass,Scott,Mc Keesport,Pennsylvania,15134,US
183,Russell Evans,Diana Berry,1-(520)172-0650,0555 Lyons Hill,Sunbrook,Tucson,Arizona,85720,US
184,Paul Ross,Keith Hawkins,1-(405)226-9128,123 Maywood Point,Canary,Oklahoma City,Oklahoma,73157,US
185,Johnny Oliver,Lillian King,1-(508)826-3355,60 Prairieview Park,Nevada,Worcester,Massachusetts,01654,US
186,Brandon Berry,Bobby Rice,1-(612)746-7495,28 Novick Circle,Mallory,Saint Paul,Minnesota,55108,US
187,Debra Shaw,Keith Fowler,1-(650)701-6704,24159 Linden Court,Lake View,Mountain View,California,94042,US
188,Ruth Ray,Carol Wright,1-(205)419-0631,8 Briar Crest Road,Commercial,Birmingham,Alabama,35205,US
189,Patrick White,Patrick Gutierrez,1-(775)610-5651,78552 Norway Maple Point,Debs,Reno,Nevada,89519,US
190,Joan Ford,Christopher Baker,1-(503)343-9790,8953 Division Street,Hayes,Portland,Oregon,97216,US
191,Laura Banks,John Mills,1-(212)252-8454,6 Crest Line Street,Havey,New York City,New York,10292,US
192,Walter Russell,Justin Brown,1-(763)247-8539,23869 Holy Cross Road,Novick,Maple Plain,Minnesota,55572,US
193,Christina Wright,Debra Snyder,1-(915)608-4711,1 Merry Place,Meadow Ridge,El Paso,Texas,88569,US
194,Adam James,Michael Barnes,1-(602)651-9734,8178 Golf View Plaza,Hintze,Phoenix,Arizona,85030,US
195,Keith Alexander,Timothy Hamilton,1-(605)724-8401,3 Waxwing Drive,Delladonna,Sioux Falls,South Dakota,57110,US
196,Doris Jones,Michael Jackson,1-(202)991-8012,352 Meadow Valley Point,Del Sol,Washington,District of Columbia,20546,US
197,Sandra Williamson,Juan Freeman,1-(561)557-5854,8 Ohio Way,Sunfield,Boca Raton,Florida,33499,US
198,Robin Kennedy,Howard Edwards,1-(718)686-9860,898 Summit Center,Hazelcrest,Bronx,New York,10464,US
199,Paula Sanders,Carl Mills,1-(405)678-3298,1991 1st Pass,Hayes,Oklahoma City,Oklahoma,73114,US
200,Arthur Moreno,Roger Jenkins,1-(706)991-2070,62 Ridge Oak Trail,Lakewood,Augusta,Georgia,30911,US
201,Janet Cox,Marie Johnston,1-(508)405-3505,3821 Pepper Wood Road,Heath,Worcester,Massachusetts,01605,US
202,Denise Reid,Cynthia Harper,1-(570)170-4618,4 Cordelia Drive,Darwin,Scranton,Pennsylvania,18514,US
203,Robin Oliver,Joseph Boyd,1-(574)101-8647,35 Prairie Rose Trail,Bunker Hill,South Bend,Indiana,46699,US
204,Henry Allen,Patricia Wheeler,1-(512)832-9993,9291 Magdeline Lane,Eastlawn,Austin,Texas,78726,US
205,Rachel Thompson,Jean Morgan,1-(989)663-1665,63246 Scott Point,1st,Midland,Michigan,48670,US
206,Mary Schmidt,Bruce Harvey,1-(240)909-5533,89 Anhalt Terrace,Roxbury,Frederick,Maryland,21705,US
207,Earl Garrett,Thomas Sullivan,1-(760)626-6012,887 Eliot Hill,Crest Line,Escondido,California,92030,US
208,John Wagner,Gary Mendoza,1-(214)615-0047,20847 Bay Point,Delaware,Dallas,Texas,75277,US
209,Dorothy Miller,Michael Fisher,1-(469)458-4755,57551 Golf View Street,1st,Dallas,Texas,75241,US
210,Shirley James,Frances Gilbert,1-(757)524-7067,098 5th Alley,Onsgard,Newport News,Virginia,23612,US
211,Albert Palmer,Angela Rivera,1-(805)936-0774,0495 Columbus Point,Ramsey,San Mateo,California,94405,US
212,Julie Fernandez,Rebecca Arnold,1-(513)580-3488,590 Upham Circle,Hintze,Cincinnati,Ohio,45296,US
213,Roy Murray,Elizabeth Lawson,1-(919)285-0578,4 Eagle Crest Pass,Pierstorff,Durham,North Carolina,27710,US
214,Earl Morgan,Justin Dixon,1-(717)810-9186,99897 Golden Leaf Avenue,Cody,Harrisburg,Pennsylvania,17126,US
215,Nicholas Morrison,John Wood,1-(703)515-3135,12 Ludington Parkway,6th,Washington,District of Columbia,20041,US
216,Julie Oliver,Ernest Stone,1-(316)758-2468,744 Summerview Street,Nelson,Wichita,Kansas,67230,US
217,Lois Williamson,Jessica Simmons,1-(402)556-2180,002 Golf Course Drive,Raven,Omaha,Nebraska,68144,US
218,Jane Schmidt,John Hudson,1-(214)201-5931,8 Springs Lane,Corben,Dallas,Texas,75241,US
219,Debra Torres,Thomas Gomez,1-(814)756-3932,36 Esker Drive,Ridge Oak,Erie,Pennsylvania,16522,US
220,Kimberly Duncan,Evelyn Kim,1-(312)980-4114,7 Summerview Circle,Bunting,Chicago,Illinois,60652,US
221,Eugene Price,Betty Reid,1-(202)809-4051,6 Mariners Cove Road,Buena Vista,Washington,District of Columbia,20470,US
222,Rebecca Gutierrez,Amanda Burke,1-(951)979-8308,07 Pleasure Drive,Ruskin,Riverside,California,92513,US
223,Deborah Arnold,Keith Jacobs,1-(480)389-3725,103 Sunbrook Way,Linden,Apache Junction,Arizona,85219,US
224,Jeremy Lawson,Raymond Garcia,1-(915)625-2119,7 West Way,Eagan,El Paso,Texas,79911,US
225,Deborah Wright,Steve Garcia,1-(727)347-4525,6458 Bartelt Plaza,Oxford,Tampa,Florida,33625,US
226,Catherine Austin,Rachel Dixon,1-(217)872-5154,22571 Eliot Drive,Bonner,Springfield,Illinois,62794,US
227,Kathryn Alexander,Russell Cooper,1-(217)598-7113,3 Spaight Pass,Grover,Springfield,Illinois,62711,US
228,Janet Gibson,Richard Collins,1-(703)308-8759,75828 Ludington Plaza,Daystar,Washington,District of Columbia,20041,US
229,Jesse Burke,Timothy Berry,1-(540)230-3975,29626 Fairfield Crossing,Westport,Roanoke,Virginia,24048,US
230,Denise Allen,Jessica Black,1-(760)834-6075,11 Prairieview Park,Manitowish,San Diego,California,92127,US
231,Gloria Lynch,Linda Ferguson,1-(309)125-5112,9723 Truax Alley,Warbler,Peoria,Illinois,61640,US
232,Rachel Richardson,Carol Murphy,1-(619)962-3468,21 Union Street,Banding,San Diego,California,92176,US
233,Sara Stevens,Nancy Johnston,1-(937)962-2614,8858 Summerview Park,Dawn,Dayton,Ohio,45432,US
234,Stephen Arnold,Robert Peters,1-(212)377-0144,9 Golf Parkway,Forest,Brooklyn,New York,11247,US
